arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
475935.0,64.0,100.0,99.0,3.0,0.16,-0.06,10.32,-0.03,0.01,0.01,19.14,79.9,-23.06,4823.13,1755695684.8663614,14:14:44
475956.0,64.0,100.0,99.0,3.0,0.17,-0.03,10.33,-0.03,0.01,0.01,19.16,79.9,-23.06,4823.35,1755695684.9149837,14:14:44
475978.0,64.0,100.0,99.0,3.0,0.17,-0.05,10.31,-0.03,0.01,0.0,19.14,79.9,-23.06,4823.58,1755695684.9630592,14:14:44
475999.0,64.0,100.0,99.0,3.0,0.16,-0.04,10.31,-0.03,0.01,0.01,19.16,79.91,-23.07,4823.79,1755695685.0122163,14:14:45
476020.0,64.0,100.0,99.0,3.0,0.18,-0.05,10.31,-0.03,0.01,0.01,19.16,79.91,-23.07,4824.01,1755695685.0612652,14:14:45
476042.0,64.0,100.0,99.0,3.0,0.17,-0.05,10.33,-0.03,0.01,0.0,19.16,79.91,-23.07,4824.24,1755695685.1105285,14:14:45
476063.0,64.0,100.0,99.0,3.0,0.16,-0.07,10.31,-0.03,0.01,0.01,19.16,79.92,-23.07,4824.45,1755695685.1584086,14:14:45
476084.0,64.0,100.0,99.0,3.0,0.17,-0.05,10.32,-0.02,0.01,0.01,19.14,79.92,-23.07,4824.67,1755695685.2086992,14:14:45
476106.0,64.0,100.0,99.0,3.0,0.19,-0.06,10.3,-0.03,0.01,0.0,19.14,79.93,-23.07,4824.9,1755695685.2586813,14:14:45
476127.0,64.0,100.0,99.0,3.0,0.17,-0.05,10.33,-0.03,0.01,0.0,19.16,79.93,-23.07,4825.11,1755695685.309003,14:14:45
476150.0,64.0,100.0,99.0,3.0,0.16,-0.05,10.31,-0.03,0.01,0.01,19.14,79.93,-23.07,4825.35,1755695685.3591325,14:14:45
476171.0,64.0,100.0,99.0,3.0,0.16,-0.05,10.32,-0.03,0.01,0.01,19.15,79.94,-23.07,4825.57,1755695685.4096978,14:14:45
