arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
169794.0,74.0,99.0,98.0,3.0,0.17,-0.04,10.32,-0.02,0.01,0.01,19.21,27.63,-7.99,1666.17,1755695338.5684967,14:08:58
169816.0,74.0,99.0,98.0,3.0,0.16,-0.02,10.3,-0.02,0.01,0.01,19.19,27.63,-7.99,1666.4,1755695338.6208894,14:08:58
169837.0,74.0,99.0,98.0,3.0,0.18,-0.07,10.32,-0.03,0.01,0.0,19.21,27.63,-7.99,1666.61,1755695338.6704175,14:08:58
169860.0,74.0,99.0,98.0,3.0,0.16,-0.05,10.3,-0.03,0.01,0.01,19.2,27.64,-7.99,1666.85,1755695338.716507,14:08:58
169881.0,74.0,99.0,98.0,3.0,0.17,-0.04,10.33,-0.03,0.01,0.0,19.21,27.64,-7.99,1667.07,1755695338.7723718,14:08:58
169903.0,74.0,99.0,98.0,3.0,0.16,-0.04,10.33,-0.02,0.01,0.01,19.19,27.64,-8.0,1667.29,1755695338.8215497,14:08:58
169924.0,74.0,99.0,98.0,3.0,0.18,-0.05,10.29,-0.02,0.01,0.0,19.21,27.65,-8.0,1667.51,1755695338.875179,14:08:58
169946.0,74.0,99.0,98.0,3.0,0.18,-0.06,10.29,-0.03,0.01,0.01,19.22,27.65,-8.0,1667.74,1755695338.927424,14:08:58
169968.0,74.0,99.0,98.0,3.0,0.18,-0.05,10.31,-0.03,0.01,0.0,19.2,27.66,-8.0,1667.96,1755695338.9784873,14:08:58
169989.0,74.0,99.0,98.0,3.0,0.14,-0.04,10.29,-0.02,0.01,0.0,19.2,27.66,-8.0,1668.18,1755695339.030209,14:08:59
170011.0,74.0,99.0,98.0,3.0,0.18,-0.03,10.3,-0.03,0.01,0.0,19.19,27.66,-8.0,1668.4,1755695339.0825524,14:08:59
170032.0,74.0,99.0,98.0,3.0,0.17,-0.05,10.3,-0.03,0.01,0.0,19.19,27.67,-8.0,1668.62,1755695339.1329188,14:08:59
170053.0,74.0,99.0,98.0,3.0,0.19,-0.04,10.31,-0.02,0.01,0.0,19.19,27.67,-8.0,1668.84,1755695339.1832633,14:08:59
170076.0,74.0,99.0,98.0,3.0,0.18,-0.03,10.29,-0.03,0.01,0.01,19.2,27.67,-8.0,1669.07,1755695339.2392714,14:08:59
170097.0,74.0,99.0,98.0,3.0,0.17,-0.03,10.32,-0.02,0.01,0.0,19.2,27.68,-8.0,1669.29,1755695339.2994356,14:08:59
170119.0,74.0,99.0,98.0,3.0,0.18,-0.06,10.3,-0.03,0.01,0.0,19.18,27.68,-8.0,1669.52,1755695339.3536763,14:08:59
170140.0,74.0,99.0,98.0,3.0,0.16,-0.06,10.31,-0.02,0.01,0.0,19.2,27.69,-8.01,1669.73,1755695339.40395,14:08:59
170161.0,74.0,99.0,98.0,3.0,0.18,-0.06,10.31,-0.02,0.01,0.01,19.2,27.69,-8.01,1669.95,1755695339.4566054,14:08:59
170183.0,74.0,99.0,98.0,3.0,0.16,-0.05,10.31,-0.02,0.01,0.0,19.2,27.69,-8.01,1670.18,1755695339.5066586,14:08:59
170204.0,74.0,99.0,98.0,3.0,0.17,-0.04,10.31,-0.03,0.01,0.01,19.22,27.7,-8.01,1670.39,1755695339.560256,14:08:59
170226.0,74.0,99.0,98.0,3.0,0.17,-0.05,10.32,-0.03,0.01,0.01,19.2,27.7,-8.01,1670.62,1755695339.6109953,14:08:59
170247.0,74.0,99.0,98.0,3.0,0.17,-0.05,10.3,-0.03,0.01,0.01,19.19,27.7,-8.01,1670.84,1755695339.6662614,14:08:59
