arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
555753.0,63.0,100.0,96.0,3.0,0.11,0.04,10.29,-0.03,0.01,0.0,19.57,464.82,-1317.68,-1924.78,1755694533.5032518,13:55:33
555774.0,63.0,100.0,96.0,3.0,0.1,0.02,10.31,-0.02,0.01,0.0,19.57,464.82,-1317.68,-1924.56,1755694533.6103222,13:55:33
555795.0,63.0,100.0,96.0,3.0,0.11,0.02,10.32,-0.02,0.01,0.0,19.58,464.83,-1317.68,-1924.34,1755694533.6903467,13:55:33
555816.0,63.0,100.0,96.0,3.0,0.09,0.04,10.28,-0.02,0.01,0.0,19.57,464.83,-1317.67,-1924.13,1755694533.756188,13:55:33
555838.0,63.0,100.0,96.0,3.0,0.1,0.04,10.3,-0.02,0.01,0.0,19.56,464.83,-1317.67,-1923.9,1755694533.8080907,13:55:33
555859.0,63.0,100.0,96.0,3.0,0.11,0.03,10.28,-0.02,0.01,0.0,19.55,464.83,-1317.67,-1923.69,1755694533.9143405,13:55:33
555882.0,63.0,100.0,96.0,3.0,0.1,0.04,10.32,-0.02,0.01,0.0,19.59,464.84,-1317.67,-1923.45,1755694534.019448,13:55:34
555903.0,63.0,100.0,96.0,3.0,0.11,0.03,10.29,-0.02,0.01,0.0,19.59,464.84,-1317.67,-1923.23,1755694534.129088,13:55:34
555924.0,63.0,100.0,96.0,3.0,0.1,0.04,10.33,-0.02,0.01,0.0,19.56,464.84,-1317.67,-1923.02,1755694534.2211962,13:55:34
555945.0,63.0,100.0,96.0,3.0,0.09,0.03,10.33,-0.02,0.01,0.0,19.57,464.84,-1317.67,-1922.8,1755694534.2775571,13:55:34
555966.0,63.0,100.0,96.0,3.0,0.11,0.03,10.28,-0.02,0.01,0.0,19.56,464.84,-1317.67,-1922.58,1755694534.3268685,13:55:34
555987.0,63.0,100.0,96.0,3.0,0.09,0.02,10.3,-0.02,0.01,0.0,19.56,464.85,-1317.67,-1922.37,1755694534.3769522,13:55:34
556008.0,63.0,100.0,96.0,3.0,0.11,0.03,10.3,-0.02,0.01,0.0,19.59,464.85,-1317.67,-1922.15,1755694534.431005,13:55:34
556029.0,63.0,100.0,96.0,3.0,0.11,0.06,10.32,-0.03,0.01,0.0,19.56,464.85,-1317.67,-1921.93,1755694534.5276165,13:55:34
556051.0,63.0,100.0,96.0,3.0,0.1,0.03,10.3,-0.02,0.01,0.0,19.57,464.85,-1317.67,-1921.71,1755694534.607338,13:55:34
556073.0,63.0,100.0,96.0,3.0,0.1,0.03,10.31,-0.02,0.01,0.0,19.56,464.85,-1317.67,-1921.48,1755694534.742478,13:55:34
556094.0,63.0,100.0,96.0,3.0,0.11,0.03,10.31,-0.02,0.01,0.0,19.57,464.86,-1317.67,-1921.26,1755694534.7921464,13:55:34
556115.0,63.0,100.0,96.0,3.0,0.11,0.04,10.32,-0.02,0.01,0.0,19.56,464.86,-1317.66,-1921.05,1755694534.8464503,13:55:34
556136.0,63.0,100.0,96.0,3.0,0.1,0.04,10.28,-0.02,0.01,0.0,19.57,464.86,-1317.66,-1920.83,1755694534.8967035,13:55:34
556159.0,63.0,100.0,96.0,3.0,0.1,0.02,10.29,-0.02,0.01,0.0,19.57,464.86,-1317.66,-1920.59,1755694534.9479356,13:55:34
556180.0,63.0,100.0,96.0,3.0,0.11,0.02,10.29,-0.02,0.01,0.0,19.57,464.87,-1317.66,-1920.38,1755694535.0403771,13:55:35
556201.0,63.0,100.0,96.0,3.0,0.11,0.01,10.32,-0.02,0.01,0.0,19.57,464.87,-1317.66,-1920.16,1755694535.1429904,13:55:35
556223.0,63.0,100.0,96.0,3.0,0.11,0.05,10.3,-0.02,0.01,0.0,19.56,464.87,-1317.66,-1919.93,1755694535.2493627,13:55:35
556244.0,63.0,100.0,96.0,3.0,0.1,0.03,10.3,-0.03,0.01,0.0,19.57,464.87,-1317.66,-1919.72,1755694535.3117747,13:55:35
556265.0,63.0,100.0,96.0,3.0,0.11,0.04,10.3,-0.02,0.01,0.0,19.57,464.87,-1317.66,-1919.5,1755694535.476077,13:55:35
556286.0,63.0,100.0,98.0,3.0,0.12,0.04,10.3,-0.02,0.01,0.01,19.59,464.88,-1317.66,-1919.29,1755694535.572373,13:55:35
556307.0,63.0,100.0,98.0,3.0,0.11,0.03,10.3,-0.02,0.01,0.0,19.58,464.88,-1317.66,-1919.07,1755694535.662535,13:55:35
556328.0,63.0,100.0,98.0,3.0,0.11,0.04,10.31,-0.02,0.01,0.0,19.57,464.88,-1317.66,-1918.85,1755694535.7192135,13:55:35
556350.0,63.0,100.0,98.0,3.0,0.12,0.05,10.3,-0.02,0.01,0.0,19.57,464.88,-1317.66,-1918.63,1755694535.7677615,13:55:35
556372.0,63.0,100.0,98.0,3.0,0.1,0.04,10.32,-0.02,0.01,0.01,19.58,464.89,-1317.66,-1918.4,1755694535.8265789,13:55:35
556393.0,63.0,100.0,98.0,3.0,0.11,0.04,10.28,-0.02,0.01,0.0,19.58,464.89,-1317.65,-1918.18,1755694535.9610574,13:55:35
556414.0,63.0,100.0,98.0,3.0,0.11,0.05,10.29,-0.02,0.01,0.0,19.57,464.89,-1317.65,-1917.97,1755694536.0642197,13:55:36
556435.0,63.0,100.0,98.0,3.0,0.11,0.03,10.29,-0.02,0.01,0.01,19.58,464.89,-1317.65,-1917.75,1755694536.1339712,13:55:36
556456.0,63.0,100.0,98.0,3.0,0.11,0.04,10.31,-0.02,0.01,0.0,19.57,464.9,-1317.65,-1917.54,1755694536.1839616,13:55:36
