arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
1065400,75,100,99,3,-6.32,4.86,5.82,-0.03,0.02,0.01,21.57,-1555.72,595.91,9653.67,1755696206,14:23:25
1065422,75,100,99,3,-6.31,4.84,5.83,-0.04,0,0,21.56,-1555.86,596.02,9653.8,1755696206,14:23:25
1065443,75,100,99,3,-6.25,4.83,5.75,-0.04,0,0,21.57,-1555.99,596.12,9653.92,1755696206,14:23:25
1065464,75,100,99,3,-6.24,4.87,5.78,-0.04,0.02,0,21.58,-1556.12,596.22,9654.04,1755696206,14:23:25
1065485,76,100,98,3,-6.31,4.85,5.83,-0.04,0.04,0.01,21.57,-1556.26,596.33,9654.16,1755696206,14:23:25
1065506,76,100,98,3,-6.34,4.85,5.87,-0.03,0.01,0,21.55,-1556.39,596.43,9654.29,1755696206,14:23:25
1065528,76,100,98,3,-6.28,4.88,5.84,-0.03,0,0,21.56,-1556.53,596.53,9654.41,1755696206,14:23:25
1065550,76,100,98,3,-6.28,4.87,5.82,-0.04,0.03,0,21.56,-1556.67,596.64,9654.54,1755696206,14:23:26
1065571,76,100,98,3,-6.27,4.86,5.84,-0.04,0.03,0.01,21.57,-1556.8,596.74,9654.66,1755696206,14:23:26
1065593,76,100,98,3,-6.28,4.86,5.83,-0.03,0,0,21.57,-1556.94,596.85,9654.79,1755696206,14:23:26
1065614,76,100,98,3,-6.27,4.86,5.81,-0.03,-0.01,0,21.55,-1557.07,596.95,9654.91,1755696206,14:23:26
1065635,76,100,98,3,-6.27,4.85,5.8,-0.03,0,0,21.56,-1557.2,597.05,9655.04,1755696206,14:23:26
1065657,76,100,98,3,-6.31,4.83,5.83,-0.02,0.01,0,21.55,-1557.34,597.16,9655.16,1755696207,14:23:26
1065678,76,100,98,3,-6.34,4.84,5.8,-0.02,0,0,21.56,-1557.47,597.26,9655.29,1755696207,14:23:26
1065700,76,100,98,3,-6.3,4.83,5.83,-0.02,-0.01,0,21.55,-1557.61,597.37,9655.41,1755696207,14:23:26
1065721,76,100,98,3,-6.31,4.82,5.81,-0.02,0,0,21.55,-1557.74,597.47,9655.54,1755696207,14:23:26
1065742,76,100,98,3,-6.33,4.85,5.81,-0.02,0.01,0,21.56,-1557.87,597.57,9655.66,1755696207,14:23:27
1065764,76,100,98,3,-6.33,4.86,5.86,-0.02,0.01,0,21.55,-1558.01,597.68,9655.79,1755696207,14:23:27
1065785,76,100,98,3,-6.32,4.89,5.84,-0.02,0.01,0,21.57,-1558.15,597.78,9655.91,1755696207,14:23:27
1065806,76,100,98,3,-6.3,4.92,5.85,-0.02,0.01,0,21.57,-1558.28,597.88,9656.03,1755696207,14:23:27
1065828,76,100,98,3,-6.28,4.89,5.86,-0.02,0.01,0,21.57,-1558.42,597.99,9656.16,1755696207,14:23:27
1065849,76,100,98,3,-6.27,4.89,5.82,-0.02,0,0.01,21.55,-1558.55,598.09,9656.28,1755696208,14:23:27
1065871,76,100,98,3,-6.29,4.86,5.83,-0.01,0,0,21.55,-1558.69,598.2,9656.41,1755696208,14:23:27
1065892,76,100,98,3,-6.29,4.87,5.84,0,0,0,21.55,-1558.82,598.3,9656.54,1755696208,14:23:27
