arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
1065400.0,75.0,100.0,99.0,3.0,-6.32,4.86,5.82,-0.03,0.02,0.01,21.57,-1555.72,595.91,9653.67,1755696205.5481682,14:23:25
1065422.0,75.0,100.0,99.0,3.0,-6.31,4.84,5.83,-0.04,0.0,0.0,21.56,-1555.86,596.02,9653.8,1755696205.606023,14:23:25
1065443.0,75.0,100.0,99.0,3.0,-6.25,4.83,5.75,-0.04,0.0,-0.0,21.57,-1555.99,596.12,9653.92,1755696205.663671,14:23:25
1065464.0,75.0,100.0,99.0,3.0,-6.24,4.87,5.78,-0.04,0.02,-0.0,21.58,-1556.12,596.22,9654.04,1755696205.7242415,14:23:25
1065485.0,76.0,100.0,98.0,3.0,-6.31,4.85,5.83,-0.04,0.04,0.01,21.57,-1556.26,596.33,9654.16,1755696205.780638,14:23:25
1065506.0,76.0,100.0,98.0,3.0,-6.34,4.85,5.87,-0.03,0.01,0.0,21.55,-1556.39,596.43,9654.29,1755696205.897916,14:23:25
1065528.0,76.0,100.0,98.0,3.0,-6.28,4.88,5.84,-0.03,0.0,-0.0,21.56,-1556.53,596.53,9654.41,1755696205.9584653,14:23:25
1065550.0,76.0,100.0,98.0,3.0,-6.28,4.87,5.82,-0.04,0.03,0.0,21.56,-1556.67,596.64,9654.54,1755696206.020689,14:23:26
1065571.0,76.0,100.0,98.0,3.0,-6.27,4.86,5.84,-0.04,0.03,0.01,21.57,-1556.8,596.74,9654.66,1755696206.1005926,14:23:26
1065593.0,76.0,100.0,98.0,3.0,-6.28,4.86,5.83,-0.03,0.0,-0.0,21.57,-1556.94,596.85,9654.79,1755696206.1516292,14:23:26
1065614.0,76.0,100.0,98.0,3.0,-6.27,4.86,5.81,-0.03,-0.01,0.0,21.55,-1557.07,596.95,9654.91,1755696206.4093685,14:23:26
1065635.0,76.0,100.0,98.0,3.0,-6.27,4.85,5.8,-0.03,-0.0,0.0,21.56,-1557.2,597.05,9655.04,1755696206.4094422,14:23:26
1065657.0,76.0,100.0,98.0,3.0,-6.31,4.83,5.83,-0.02,0.01,-0.0,21.55,-1557.34,597.16,9655.16,1755696206.6166127,14:23:26
1065678.0,76.0,100.0,98.0,3.0,-6.34,4.84,5.8,-0.02,0.0,-0.0,21.56,-1557.47,597.26,9655.29,1755696206.666353,14:23:26
1065700.0,76.0,100.0,98.0,3.0,-6.3,4.83,5.83,-0.02,-0.01,-0.0,21.55,-1557.61,597.37,9655.41,1755696206.8260818,14:23:26
1065721.0,76.0,100.0,98.0,3.0,-6.31,4.82,5.81,-0.02,0.0,-0.0,21.55,-1557.74,597.47,9655.54,1755696206.9206738,14:23:26
1065742.0,76.0,100.0,98.0,3.0,-6.33,4.85,5.81,-0.02,0.01,-0.0,21.56,-1557.87,597.57,9655.66,1755696207.021995,14:23:27
1065764.0,76.0,100.0,98.0,3.0,-6.33,4.86,5.86,-0.02,0.01,-0.0,21.55,-1558.01,597.68,9655.79,1755696207.1246796,14:23:27
1065785.0,76.0,100.0,98.0,3.0,-6.32,4.89,5.84,-0.02,0.01,0.0,21.57,-1558.15,597.78,9655.91,1755696207.1819847,14:23:27
1065806.0,76.0,100.0,98.0,3.0,-6.3,4.92,5.85,-0.02,0.01,0.0,21.57,-1558.28,597.88,9656.03,1755696207.3315706,14:23:27
1065828.0,76.0,100.0,98.0,3.0,-6.28,4.89,5.86,-0.02,0.01,0.0,21.57,-1558.42,597.99,9656.16,1755696207.3918173,14:23:27
1065849.0,76.0,100.0,98.0,3.0,-6.27,4.89,5.82,-0.02,-0.0,0.01,21.55,-1558.55,598.09,9656.28,1755696207.5373824,14:23:27
1065871.0,76.0,100.0,98.0,3.0,-6.29,4.86,5.83,-0.01,0.0,0.0,21.55,-1558.69,598.2,9656.41,1755696207.6007307,14:23:27
1065892.0,76.0,100.0,98.0,3.0,-6.29,4.87,5.84,-0.0,-0.0,0.0,21.55,-1558.82,598.3,9656.54,1755696207.7411513,14:23:27
1065913.0,76.0,100.0,98.0,3.0,-6.27,4.85,5.85,-0.01,-0.02,0.0,21.55,-1558.95,598.41,9656.66,1755696207.7930396,14:23:27
1065935.0,76.0,100.0,98.0,3.0,-6.31,4.83,5.77,-0.02,-0.02,0.0,21.56,-1559.09,598.51,9656.79,1755696207.9465804,14:23:27
1065956.0,76.0,100.0,98.0,3.0,-6.3,4.84,5.77,-0.01,-0.01,-0.0,21.55,-1559.22,598.61,9656.91,1755696207.9960759,14:23:27
1065977.0,76.0,100.0,98.0,3.0,-6.32,4.86,5.8,-0.0,0.01,-0.01,21.57,-1559.35,598.72,9657.03,1755696208.1500323,14:23:28
1065998.0,76.0,100.0,98.0,3.0,-6.29,4.86,5.81,-0.01,-0.0,-0.0,21.56,-1559.49,598.82,9657.15,1755696208.254841,14:23:28
1066019.0,76.0,100.0,98.0,3.0,-6.28,4.85,5.76,-0.01,-0.0,-0.01,21.56,-1559.62,598.92,9657.27,1755696208.308415,14:23:28
1066041.0,76.0,100.0,98.0,3.0,-6.29,4.86,5.82,-0.01,0.01,-0.01,21.54,-1559.76,599.03,9657.4,1755696208.4574764,14:23:28
1066063.0,76.0,100.0,98.0,3.0,-6.27,4.88,5.8,-0.02,0.01,-0.0,21.55,-1559.89,599.13,9657.53,1755696208.5642495,14:23:28
1066084.0,76.0,100.0,98.0,3.0,-6.28,4.84,5.77,-0.02,0.0,-0.0,21.55,-1560.03,599.24,9657.65,1755696208.6616886,14:23:28
1066106.0,76.0,100.0,98.0,3.0,-6.28,4.86,5.8,-0.02,0.01,-0.01,21.56,-1560.16,599.34,9657.77,1755696208.7138567,14:23:28
1066128.0,76.0,100.0,98.0,3.0,-6.31,4.85,5.86,-0.01,0.01,-0.01,21.53,-1560.3,599.45,9657.9,1755696208.866383,14:23:28
