arduino_ms,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,py_timestamp,real_time
12340.0,88.0,88.0,99.0,3.0,-4.83,5.18,7.09,-0.03,0.02,0.01,21.66,-22.72,24.71,33.34,1755699979.378839,15:26:19
12361.0,88.0,88.0,99.0,3.0,-4.81,5.16,7.06,-0.02,0.0,0.01,21.65,-22.83,24.81,33.49,1755699979.4294598,15:26:19
12382.0,88.0,88.0,99.0,3.0,-4.77,5.16,7.03,-0.03,0.02,0.01,21.64,-22.93,24.92,33.64,1755699979.481387,15:26:19
12403.0,88.0,88.0,99.0,3.0,-4.75,5.16,7.03,-0.03,0.01,0.0,21.66,-23.03,25.03,33.79,1755699979.627579,15:26:19
12425.0,88.0,88.0,99.0,3.0,-4.77,5.16,7.04,-0.02,0.01,0.0,21.65,-23.13,25.14,33.94,1755699979.7282493,15:26:19
12447.0,88.0,88.0,99.0,3.0,-4.79,5.2,7.07,-0.03,0.01,-0.0,21.65,-23.24,25.26,34.1,1755699979.8328588,15:26:19
12468.0,88.0,88.0,99.0,3.0,-4.8,5.2,7.09,-0.03,0.01,0.0,21.64,-23.34,25.37,34.25,1755699979.934446,15:26:19
12489.0,88.0,88.0,99.0,3.0,-4.82,5.18,7.13,-0.02,0.01,0.01,21.65,-23.44,25.48,34.4,1755699980.0372515,15:26:20
12510.0,88.0,88.0,99.0,3.0,-4.8,5.16,7.06,-0.02,0.0,0.01,21.65,-23.54,25.58,34.54,1755699980.0912437,15:26:20
12531.0,88.0,88.0,99.0,3.0,-4.76,5.16,7.03,-0.03,0.02,0.01,21.64,-23.64,25.69,34.69,1755699980.144856,15:26:20
12554.0,88.0,88.0,99.0,3.0,-4.79,5.18,7.08,-0.02,0.01,0.01,21.65,-23.75,25.81,34.86,1755699980.2398899,15:26:20
12575.0,88.0,88.0,99.0,3.0,-4.78,5.2,7.06,-0.01,-0.0,0.0,21.64,-23.85,25.92,35.0,1755699980.3492131,15:26:20
12596.0,88.0,88.0,99.0,3.0,-4.77,5.17,7.03,-0.02,-0.0,0.0,21.64,-23.95,26.03,35.15,1755699980.4457111,15:26:20
12618.0,88.0,88.0,99.0,3.0,-4.78,5.14,7.05,-0.03,0.02,0.0,21.65,-24.06,26.14,35.31,1755699980.5452812,15:26:20
12640.0,88.0,88.0,99.0,3.0,-4.8,5.18,7.06,-0.02,0.0,0.0,21.66,-24.16,26.26,35.46,1755699980.6513512,15:26:20
12661.0,88.0,88.0,99.0,3.0,-4.83,5.2,7.08,-0.03,0.01,0.01,21.65,-24.26,26.37,35.61,1755699980.7532253,15:26:20
12682.0,88.0,88.0,99.0,3.0,-4.8,5.16,7.11,-0.03,0.01,0.01,21.66,-24.36,26.47,35.76,1755699980.865894,15:26:20
12703.0,88.0,88.0,99.0,3.0,-4.78,5.13,7.04,-0.03,0.01,0.0,21.67,-24.46,26.58,35.91,1755699980.9609878,15:26:20
12724.0,88.0,88.0,99.0,3.0,-4.75,5.16,7.03,-0.03,0.02,0.01,21.66,-24.56,26.69,36.06,1755699981.0192993,15:26:21
12745.0,88.0,88.0,99.0,3.0,-4.75,5.17,7.09,-0.03,0.01,0.0,21.67,-24.66,26.8,36.2,1755699981.161781,15:26:21
12767.0,88.0,88.0,99.0,3.0,-4.82,5.18,7.09,-0.02,-0.0,0.0,21.66,-24.77,26.91,36.36,1755699981.2483838,15:26:21
12788.0,88.0,88.0,99.0,3.0,-4.83,5.17,7.1,-0.02,-0.01,0.01,21.66,-24.87,27.02,36.51,1755699981.4211125,15:26:21
12810.0,88.0,88.0,99.0,3.0,-4.77,5.18,7.03,-0.03,0.01,0.01,21.66,-24.98,27.14,36.66,1755699981.618038,15:26:21
12831.0,88.0,88.0,99.0,3.0,-4.78,5.17,7.04,-0.03,0.02,0.01,21.65,-25.08,27.24,36.81,1755699981.8207698,15:26:21
12852.0,88.0,88.0,99.0,3.0,-4.82,5.16,7.05,-0.02,0.01,0.01,21.65,-25.18,27.35,36.96,1755699982.008092,15:26:22
12873.0,88.0,88.0,99.0,3.0,-4.81,5.17,7.07,-0.02,0.0,0.01,21.65,-25.28,27.46,37.11,1755699982.086144,15:26:22
12894.0,88.0,88.0,99.0,3.0,-4.78,5.16,7.03,-0.03,0.02,0.01,21.63,-25.38,27.57,37.26,1755699982.1394844,15:26:22
12915.0,88.0,88.0,99.0,3.0,-4.75,5.17,7.06,-0.03,0.02,-0.0,21.65,-25.48,27.68,37.4,1755699982.1903222,15:26:22
12937.0,88.0,88.0,99.0,3.0,-4.79,5.18,7.12,-0.03,0.01,-0.0,21.64,-25.58,27.79,37.56,1755699982.2472908,15:26:22
12959.0,88.0,88.0,99.0,3.0,-4.79,5.2,7.13,-0.02,-0.01,-0.0,21.65,-25.69,27.91,37.72,1755699982.392202,15:26:22
12980.0,88.0,88.0,99.0,3.0,-4.81,5.2,7.08,-0.02,-0.0,0.0,21.64,-25.79,28.01,37.87,1755699982.497244,15:26:22
13001.0,88.0,88.0,99.0,3.0,-4.82,5.15,7.0,-0.03,0.01,0.0,21.67,-25.89,28.12,38.01,1755699982.550979,15:26:22
13022.0,88.0,88.0,99.0,3.0,-4.84,5.14,7.02,-0.03,0.02,0.01,21.65,-25.99,28.23,38.16,1755699982.729833,15:26:22
13043.0,88.0,89.0,99.0,3.0,-4.75,5.15,7.08,-0.04,0.03,0.0,21.65,-26.09,28.34,38.31,1755699982.7852602,15:26:22
13066.0,88.0,89.0,99.0,3.0,-4.76,5.18,7.05,-0.03,0.02,0.0,21.64,-26.2,28.46,38.47,1755699982.834965,15:26:22
13087.0,88.0,89.0,99.0,3.0,-4.77,5.19,7.06,-0.03,0.01,-0.01,21.65,-26.3,28.57,38.62,1755699982.8967805,15:26:22
13108.0,88.0,89.0,99.0,3.0,-4.8,5.19,7.13,-0.03,0.01,0.0,21.66,-26.4,28.68,38.77,1755699982.960688,15:26:22
13130.0,88.0,89.0,99.0,3.0,-4.79,5.15,7.1,-0.03,0.02,-0.0,21.65,-26.51,28.79,38.93,1755699983.1078444,15:26:23
13152.0,88.0,89.0,99.0,3.0,-4.79,5.17,7.06,-0.03,0.02,-0.0,21.66,-26.61,28.9,39.08,1755699983.1593394,15:26:23
13174.0,88.0,89.0,99.0,3.0,-4.79,5.17,7.08,-0.03,0.0,-0.0,21.64,-26.72,29.02,39.24,1755699983.210359,15:26:23
13195.0,88.0,89.0,99.0,3.0,-4.82,5.15,7.08,-0.02,-0.0,-0.0,21.65,-26.82,29.13,39.39,1755699983.2580829,15:26:23
13216.0,88.0,89.0,99.0,3.0,-4.82,5.16,7.1,-0.03,0.01,-0.0,21.67,-26.92,29.23,39.53,1755699983.312709,15:26:23
13238.0,88.0,89.0,99.0,3.0,-4.79,5.13,7.1,-0.02,0.01,-0.0,21.66,-27.03,29.35,39.69,1755699983.3610282,15:26:23
13259.0,88.0,89.0,99.0,3.0,-4.77,5.12,7.07,-0.02,0.0,-0.0,21.64,-27.13,29.45,39.84,1755699983.5252628,15:26:23
13280.0,88.0,89.0,99.0,3.0,-4.77,5.15,7.07,-0.02,0.01,-0.01,21.67,-27.23,29.56,39.99,1755699983.579801,15:26:23
13301.0,88.0,89.0,99.0,3.0,-4.79,5.16,7.08,-0.02,0.0,-0.01,21.65,-27.33,29.67,40.14,1755699983.6318653,15:26:23
13322.0,88.0,89.0,99.0,3.0,-4.92,5.22,7.13,-0.04,0.03,-0.02,21.66,-27.43,29.78,40.29,1755699983.6846359,15:26:23
13343.0,88.0,89.0,99.0,3.0,-4.91,5.19,7.19,-0.04,0.03,-0.02,21.64,-27.53,29.89,40.44,1755699983.8251863,15:26:23
13365.0,88.0,89.0,99.0,3.0,-4.71,5.13,7.12,-0.05,0.03,-0.03,21.64,-27.64,30.0,40.59,1755699983.9263468,15:26:23
13386.0,88.0,89.0,99.0,3.0,-4.7,5.2,7.01,-0.06,0.01,-0.03,21.65,-27.74,30.11,40.74,1755699984.0281878,15:26:24
13407.0,88.0,89.0,99.0,3.0,-4.81,5.11,6.9,-0.06,-0.01,-0.02,21.66,-27.84,30.22,40.89,1755699984.0855582,15:26:24
13428.0,88.0,89.0,99.0,3.0,-4.96,5.04,6.96,-0.08,0.01,-0.03,21.67,-27.94,30.33,41.03,1755699984.2360091,15:26:24
13449.0,88.0,89.0,99.0,3.0,-4.91,5.08,6.97,-0.06,-0.02,-0.03,21.67,-28.04,30.43,41.18,1755699984.3419676,15:26:24
13471.0,88.0,89.0,99.0,3.0,-4.81,5.11,6.95,-0.09,0.07,-0.03,21.66,-28.15,30.54,41.33,1755699985.741083,15:26:25
13492.0,88.0,89.0,99.0,3.0,-4.9,5.12,7.13,-0.13,0.12,-0.03,21.65,-28.25,30.65,41.48,1755699985.7412045,15:26:25
13513.0,88.0,89.0,99.0,3.0,-4.84,5.05,7.13,-0.08,0.02,-0.02,21.65,-28.35,30.76,41.63,1755699985.7994454,15:26:25
13534.0,88.0,89.0,99.0,3.0,-4.82,5.06,7.06,-0.1,0.04,-0.02,21.66,-28.46,30.86,41.78,1755699985.7995286,15:26:25
13555.0,88.0,89.0,99.0,3.0,-4.91,5.06,7.23,-0.12,0.09,-0.02,21.65,-28.56,30.97,41.93,1755699986.0406966,15:26:26
13577.0,88.0,89.0,99.0,3.0,-4.92,5.04,7.22,-0.09,0.04,-0.02,21.66,-28.67,31.08,42.09,1755699986.3933403,15:26:26
