timestamp,beats per minute
2025-08-20T12:13:17Z,70
2025-08-20T12:13:32Z,72
2025-08-20T12:13:37Z,74
2025-08-20T12:13:42Z,82
2025-08-20T12:13:47Z,83
2025-08-20T12:13:57Z,82
2025-08-20T12:14:02Z,81
2025-08-20T12:14:07Z,79
2025-08-20T12:14:12Z,78
2025-08-20T12:14:17Z,76
2025-08-20T12:14:27Z,72
2025-08-20T12:14:32Z,68
2025-08-20T12:14:37Z,67
2025-08-20T12:14:47Z,69
2025-08-20T12:14:52Z,71
2025-08-20T12:14:57Z,70
2025-08-20T12:15:02Z,69
2025-08-20T12:15:07Z,71
2025-08-20T12:15:17Z,72
2025-08-20T12:15:27Z,73
2025-08-20T12:15:32Z,74
2025-08-20T12:15:37Z,75
2025-08-20T12:15:52Z,74
2025-08-20T12:15:57Z,75
2025-08-20T12:16:12Z,73
2025-08-20T12:16:17Z,68
2025-08-20T12:16:22Z,68
2025-08-20T12:16:37Z,68
2025-08-20T12:16:42Z,69
2025-08-20T12:16:52Z,70
2025-08-20T12:16:57Z,71
2025-08-20T12:17:12Z,71
2025-08-20T12:17:22Z,72
2025-08-20T12:17:27Z,71
2025-08-20T12:17:42Z,71
2025-08-20T12:17:57Z,72
2025-08-20T12:18:02Z,73
2025-08-20T12:18:17Z,73
2025-08-20T12:18:22Z,74
2025-08-20T12:18:27Z,76
2025-08-20T12:18:32Z,77
2025-08-20T12:18:42Z,75
2025-08-20T12:18:46Z,74
2025-08-20T12:18:51Z,71
2025-08-20T12:19:01Z,72
2025-08-20T12:19:06Z,73
2025-08-20T12:19:11Z,75
2025-08-20T12:19:16Z,74
2025-08-20T12:19:21Z,73
2025-08-20T12:19:31Z,75
2025-08-20T12:19:41Z,76
2025-08-20T12:19:51Z,77
2025-08-20T12:20:06Z,77
2025-08-20T12:20:16Z,78
2025-08-20T12:20:21Z,76
2025-08-20T12:20:26Z,73
2025-08-20T12:20:31Z,72
2025-08-20T12:20:46Z,72
2025-08-20T12:20:51Z,71
