timestamp_ms,ECG_Raw,ECG_Centered,PPG_HR,PPG_O2,PPG_Conf,PPG_Status,MPU_AccelX,MPU_AccelY,MPU_AccelZ,MPU_GyroX,MPU_GyroY,MPU_GyroZ,MPU_Temp,MPU_VelX,MPU_VelY,MPU_VelZ,t_s,ECG_HR_at_sample
90478.0,4095.0,2241.0,71.0,95.0,94.0,3.0,0.16,0.04,10.34,-0.03,0.01,0.0,27.91,12.96,3.93,867.98,90.478,62.11180124223641
90499.0,2389.0,535.0,71.0,95.0,94.0,3.0,0.15,0.04,10.32,-0.03,0.01,0.0,27.92,12.97,3.93,868.2,90.499,62.11180124223641
90520.0,2318.0,464.0,71.0,95.0,94.0,3.0,0.15,0.05,10.35,-0.03,0.01,0.0,27.92,12.97,3.93,868.42,90.52,62.11180124223641
90541.0,1409.0,-445.0,71.0,95.0,94.0,3.0,0.17,0.05,10.33,-0.03,0.01,0.0,27.91,12.97,3.93,868.63,90.541,62.11180124223641
90562.0,1339.0,-515.0,71.0,95.0,94.0,3.0,0.16,0.04,10.3,-0.03,0.01,0.0,27.91,12.98,3.93,868.85,90.562,62.11180124223641
90583.0,481.0,-1373.0,71.0,95.0,94.0,3.0,0.16,0.04,10.3,-0.03,0.01,0.0,27.92,12.98,3.93,869.07,90.583,62.11180124223641
90604.0,1019.0,-835.0,71.0,95.0,94.0,3.0,0.15,0.06,10.34,-0.03,0.01,0.0,27.93,12.98,3.94,869.28,90.604,62.11180124223641
90625.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.04,10.36,-0.03,0.01,0.0,27.91,12.98,3.94,869.5,90.625,62.11180124223641
90646.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.05,10.34,-0.03,0.01,0.0,27.92,12.99,3.94,869.72,90.646,62.11180124223641
90667.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.03,10.34,-0.03,0.01,0.0,27.92,12.99,3.94,869.93,90.667,62.11180124223641
90688.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.05,10.33,-0.03,0.01,0.0,27.92,12.99,3.94,870.15,90.688,62.11180124223641
90709.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.18,0.03,10.37,-0.03,0.01,0.0,27.91,13.0,3.94,870.37,90.709,62.11180124223641
90730.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.06,10.34,-0.03,0.01,0.0,27.91,13.0,3.94,870.59,90.73,62.11180124223641
90751.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.05,10.33,-0.03,0.01,0.01,27.91,13.0,3.94,870.8,90.751,62.11180124223641
90772.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.04,10.3,-0.03,0.01,0.0,27.93,13.01,3.94,871.02,90.772,62.11180124223641
90793.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.05,10.35,-0.03,0.01,0.0,27.94,13.01,3.94,871.24,90.793,62.11180124223641
90814.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.04,10.32,-0.03,0.01,0.0,27.92,13.01,3.94,871.45,90.814,62.11180124223641
90835.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.05,10.32,-0.03,0.01,0.0,27.93,13.02,3.95,871.67,90.835,52.9100529100529
90856.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.06,10.35,-0.03,0.01,0.0,27.92,13.02,3.95,871.89,90.856,52.9100529100529
90877.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.03,10.35,-0.03,0.01,0.0,27.93,13.02,3.95,872.11,90.877,52.9100529100529
90898.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.05,10.37,-0.03,0.01,0.0,27.92,13.03,3.95,872.32,90.898,52.9100529100529
90919.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.04,10.35,-0.03,0.01,0.01,27.9,13.03,3.95,872.54,90.919,52.9100529100529
90940.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.05,10.36,-0.03,0.01,0.0,27.92,13.03,3.95,872.76,90.94,52.9100529100529
90961.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.05,10.34,-0.03,0.01,0.0,27.91,13.04,3.95,872.97,90.961,52.9100529100529
90982.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.05,10.33,-0.03,0.01,0.0,27.92,13.04,3.95,873.19,90.982,52.9100529100529
91003.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.03,10.35,-0.03,0.01,0.0,27.94,13.04,3.95,873.41,91.003,52.9100529100529
91024.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.07,10.34,-0.03,0.01,0.0,27.91,13.05,3.95,873.63,91.024,52.9100529100529
91045.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.04,10.34,-0.03,0.01,0.0,27.91,13.05,3.96,873.84,91.045,52.9100529100529
91066.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.02,10.33,-0.03,0.01,0.0,27.92,13.05,3.96,874.06,91.066,52.9100529100529
91087.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.05,10.33,-0.03,0.01,0.01,27.91,13.06,3.96,874.28,91.087,52.9100529100529
91108.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.04,10.35,-0.03,0.01,0.0,27.92,13.06,3.96,874.49,91.108,52.9100529100529
91129.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.19,0.04,10.37,-0.03,0.01,0.0,27.9,13.06,3.96,874.71,91.129,52.9100529100529
91150.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.17,0.05,10.35,-0.03,0.01,0.0,27.92,13.07,3.96,874.93,91.15,52.9100529100529
91171.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.05,10.34,-0.03,0.01,0.01,27.92,13.07,3.96,875.15,91.171,52.9100529100529
91192.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.03,10.31,-0.03,0.01,0.0,27.92,13.07,3.96,875.36,91.192,52.9100529100529
91213.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.04,10.34,-0.03,0.01,0.0,27.92,13.08,3.96,875.58,91.213,52.9100529100529
91234.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.04,10.32,-0.03,0.01,0.0,27.92,13.08,3.96,875.8,91.234,52.9100529100529
91255.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.14,0.04,10.31,-0.03,0.01,0.0,27.92,13.08,3.96,876.01,91.255,52.9100529100529
91276.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.16,0.03,10.35,-0.03,0.01,0.0,27.92,13.09,3.97,876.23,91.276,52.9100529100529
91297.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.17,0.04,10.32,-0.03,0.01,0.0,27.93,13.09,3.97,876.45,91.297,52.9100529100529
91318.0,4095.0,2241.0,71.0,95.0,94.0,3.0,0.17,0.05,10.35,-0.03,0.01,0.0,27.92,13.09,3.97,876.67,91.318,52.9100529100529
91339.0,3280.0,1426.0,71.0,95.0,94.0,3.0,0.15,0.06,10.33,-0.03,0.01,0.0,27.92,13.1,3.97,876.88,91.339,52.9100529100529
91360.0,1347.0,-507.0,71.0,95.0,94.0,3.0,0.16,0.05,10.32,-0.03,0.01,0.0,27.93,13.1,3.97,877.1,91.36,52.9100529100529
91381.0,4095.0,2241.0,71.0,95.0,94.0,3.0,0.16,0.03,10.31,-0.03,0.01,0.0,27.9,13.1,3.97,877.32,91.381,52.9100529100529
91402.0,2407.0,553.0,71.0,95.0,94.0,3.0,0.16,0.04,10.33,-0.03,0.01,0.0,27.9,13.11,3.97,877.53,91.402,52.9100529100529
91423.0,3272.0,1418.0,71.0,95.0,94.0,3.0,0.15,0.04,10.33,-0.03,0.01,0.0,27.9,13.11,3.97,877.75,91.423,52.9100529100529
91444.0,1169.0,-685.0,71.0,95.0,94.0,3.0,0.16,0.04,10.36,-0.03,0.01,0.0,27.91,13.11,3.97,877.97,91.444,52.9100529100529
91465.0,0.0,-1854.0,71.0,95.0,94.0,3.0,0.15,0.04,10.3,-0.03,0.01,0.0,27.9,13.12,3.97,878.18,91.465,52.9100529100529
91486.0,1567.0,-287.0,71.0,95.0,94.0,3.0,0.15,0.05,10.35,-0.03,0.01,0.0,27.91,13.12,3.97,878.4,91.486,52.9100529100529
91507.0,1910.0,56.0,71.0,95.0,94.0,3.0,0.15,0.05,10.34,-0.03,0.01,0.0,27.92,13.12,3.98,878.62,91.507,52.9100529100529
91528.0,1933.0,79.0,71.0,95.0,94.0,3.0,0.16,0.03,10.34,-0.03,0.01,0.0,27.93,13.13,3.98,878.84,91.528,52.9100529100529
91549.0,1926.0,72.0,71.0,95.0,94.0,3.0,0.17,0.06,10.31,-0.03,0.01,0.0,27.91,13.13,3.98,879.05,91.549,52.9100529100529
91570.0,1930.0,76.0,71.0,95.0,94.0,3.0,0.17,0.05,10.31,-0.03,0.01,0.0,27.92,13.13,3.98,879.27,91.57,52.9100529100529
91591.0,1927.0,73.0,71.0,95.0,94.0,3.0,0.16,0.04,10.32,-0.03,0.01,0.0,27.9,13.14,3.98,879.48,91.591,52.9100529100529
91612.0,1927.0,73.0,71.0,95.0,94.0,3.0,0.16,0.04,10.34,-0.03,0.01,0.0,27.91,13.14,3.98,879.7,91.612,52.9100529100529
91633.0,1954.0,100.0,71.0,95.0,94.0,3.0,0.17,0.04,10.32,-0.03,0.01,0.0,27.92,13.14,3.98,879.92,91.633,52.9100529100529
91654.0,2009.0,155.0,71.0,95.0,94.0,3.0,0.15,0.04,10.33,-0.03,0.01,0.0,27.92,13.15,3.98,880.14,91.654,52.9100529100529
91675.0,2021.0,167.0,71.0,95.0,94.0,3.0,0.17,0.06,10.34,-0.03,0.01,0.0,27.93,13.15,3.98,880.35,91.675,52.9100529100529
